 word=ပွၵ်ႉ, f=1022
 word=ၵပ်း, f=1019
 word=ၼႃႈလိၵ်ႈ, f=1002
 word=မိၼ်, f=1000
 word=ၸိူဝ်ႉ, f=996
 word=ၵွပ်ႈ, f=992
 word=သြႃႇ, f=990
 word=တွင်, f=989
 word=ဝီႇ, f=985
 word=မွၵ်ႈ, f=981
 word=ပၼ်ႇ, f=979
 word=ပေႃးဝႃႈ, f=974
 word=ယႂႃႇ, f=974
 word=ၵိူတ်ႇ, f=969
 word=တႄႉတႄႉ, f=969
 word=မဵဝ်း, f=961
 word=ငိုၼ်း, f=960
 word=လႅင်ႇ, f=959
 word=ၵိုတ်း, f=958
 word=ၵူၺ်းၵႃႈ, f=957
 word=လႄႇ, f=957
 word=ၽႂ်, f=954
 word=ဢိၼ်း, f=936
 word=ရႁၢၼ်း, f=933
 word=ပီႊ, f=931
 word=ပပ်ႉ, f=930
 word=ႁပ်ႉ, f=928
 word=လၢႆ, f=927
 word=သွၼ်, f=926
 word=သႃႇသၼႃႇ, f=921
 word=ငမ်း, f=920
 word=ဝူၼ်ႉ, f=904
 word=တိတ်ႉ, f=899
 word=မွၵ်ႇ, f=897
 word=တဵင်ႇ, f=892
 word=ႁိုဝ်, f=891
 word=ထတ်း, f=890
 word=ႁူင်းႁဵၼ်း, f=878
 word=မိူဝ်း, f=878
 word=ငဝ်း, f=872
 word=ယမ်, f=867
 word=ဝတ်ႉ, f=865
 word=ယၢင်း, f=861
 word=ၵမ်ႉ, f=859
 word=ယၢဝ်း, f=858
 word=မွၼ်း, f=858
 word=ႁွတ်ႈ, f=855
 word=ႁွင်ႈ, f=855
 word=မိူၼ်ၼင်ႇ, f=851
 word=ၶဝ်ႈၸႂ်, f=849
 word=ႁွမ်း, f=847
 word=ဢၢင်ႈ, f=847
 word=ယၢမ်ႈ, f=846
 word=တႄး, f=842
 word=သိပ်း, f=840
 word=ထၢမ်, f=838
 word=ရ, f=837
 word=ဢၼ်ၼိုင်ႈ, f=835
 word=ၼႃႈလိၼ်, f=834
 word=တေႃႇထိုင်, f=832
 word=တၢၼ်ႇ, f=830
 word=တဵမ်, f=819
 word=ၸႃႇ, f=812
 word=မၢၵ်ႇ, f=800
 word=ယေႇ, f=800
 word=ၼႆလႄႈ, f=799
 word=တင်ႈ, f=797
 word=မႃ, f=795
 word=ၵၢင်, f=794
 word=သိၼ်, f=794
 word=ၵု, f=794
 word=ႁိုင်, f=790
 word=ၸဵမ်, f=790
 word=ၼီႈ, f=787
 word=ပၢႆ, f=787
 word=မႁႃႇ, f=785
 word=တွင်ႇတႃႇ, f=784
 word=လွင်ႈတၢင်း, f=774
 word=လုင်း, f=774
 word=ၼၢႆး, f=767
 word=ၵၢႆႇ, f=766
 word=ၵဝ်ႇ, f=762
 word=လႅင်း, f=760
 word=ပူဝ်ႇ, f=758
 word=ထႆး, f=752
 word=မၢၼ်ႇ, f=748
 word=ႁဵတ်းၵၢၼ်, f=746
 word=မေႃႇ, f=744
 word=သုၼ်ႇ, f=737
 word=ထုၵ်ႇ, f=737
 word=တႅၼ်း, f=737
 word=သင်ႇ, f=732
 word=ၾိင်ႈ, f=731
 word=ၵႃး, f=731
 word=ၵရီႇ, f=730
 word=တိုၼ်း, f=728
 word=င, f=727
 word=ဝၢၼ်း, f=725
 word=တပ်ႉ, f=725
 word=ၶၢမ်ႇ, f=724
 word=သီ, f=724
 word=ပၢႆးမၢၵ်ႈမီး, f=723
 word=ထုင်ႉ, f=723
 word=ၸႂ်ႈ, f=723
 word=ၵွၼ်ႇ, f=720
 word=ၽင်ႇ, f=719
 word=ဢင်, f=717
 word=သင်ႇၶႃႇ, f=709
